CUSTOMERNAME,C2,MONTH_ID
"AV_Stores,_Co.","51018, 48963, 57828","3, 11, 10"
Alpha_Cognac,"17252, 38100, 15140","7, 11, 3"
Amica_Models_&_Co.,"38039, 56079","9, 8"
"Anna_s_Decorations,_Ltd","35161, 41791, 29851, 47192","3, 11, 1, 9"
Atelier_graphique,"16561, 2312, 5308","5, 11, 9"
"Australian_Collectables,_Ltd","14378, 12335, 37879","5, 7, 11"
"Australian_Collectors,_Co.","91224, 50398, 9738, 49638","11, 4, 5, 2"
"Australian_Gift_Network,_Co","27098, 21730, 10640","11, 2, 9"
Auto_Canal+_Petit,"51173, 14067, 27932","1, 4, 5"
Auto_Moto_Classics_Inc.,"7278, 11528, 7673","6, 12, 9"
Baane_Mini_Imports,"40653, 54702, 21244","11, 1, 10"
"Bavarian_Collectables_Imports,_Co.",34994,9
"Blauer_See_Auto,_Co.","37266, 11432, 9215, 27257","3, 1, 11, 10"
Boards_&_Toys_Co.,"3987, 5142","2, 10"
CAF_Imports,"34312, 15331","11, 3"
Cambridge_Collectables_Co.,"21783, 14382","3, 5"
Canadian_Gift_Exchange_Network,"38662, 36577","12, 10"
"Classic_Gift_Ideas,_Inc","27446, 40062","10, 11"
Classic_Legends_Inc.,"27733, 24778, 25284","11, 4, 10"
"Clover_Collections,_Co.","18972, 38784","9, 2"
Collectable_Mini_Designs_Co.,87488,2
Collectables_For_Less_Inc.,"34992, 15110, 31475","9, 7, 1"
Corporate_Gift_Ideas_Co.,"95678, 54204","10, 2"
"Corrida_Auto_Replicas,_Ltd","24996, 61074, 34547","1, 5, 11"
Cruz_&_Sons_Co.,"55245, 38770","3, 11"
Daedalus_Designs_Imports,"48876, 20179","11, 2"
Danish_Wholesale_Imports,"58871, 4750, 24080, 57342","2, 6, 11, 4"
Diecast_Classics_Inc.,"44040, 44781, 27148, 6167","11, 8, 7, 5"
Diecast_Collectables,"63731, 7129","12, 4"
"Double_Decker_Gift_Stores,_Ltd","27542, 8477","11, 1"
