CUSTOMERNAME,PRODUCTSCALE
"AV_Stores,_Co.","24, 24, 24, 700, 18, 24, 18, 50, 12, 18, 700, 24, 18, 24, 18, 700, 12, 24, 18, 18, 24, 18, 18, 72, 18, 18, 18, 32, 18, 24, 700, 18, 24, 700, 24"
Alpha_Cognac,"700, 24, 10, 700, 72, 18, 24, 18, 18, 24, 700, 24"
Atelier_graphique,24
Baane_Mini_Imports,"12, 10, 10, 32, 32, 24, 12, 24, 50, 24, 50, 12, 50, 24, 18, 32"
"Blauer_See_Auto,_Co.","24, 18, 18, 18, 18, 18, 12, 12, 12, 12"
CAF_Imports,"24, 18, 18, 700, 24, 700, 700, 700, 18, 700, 72"
"Corrida_Auto_Replicas,_Ltd","18, 24, 12, 32, 24, 18, 32, 18"
"Double_Decker_Gift_Stores,_Ltd","18, 700, 24, 10, 72, 24, 24, 18, 18"
Euro+_Shopping_Channel,"18, 18, 24, 18, 18, 24, 18, 24, 18, 24, 18, 24, 18, 18, 18, 24, 24, 18, 18, 24, 24, 18, 18, 24, 18, 72, 18, 32, 32, 18, 18, 18, 32, 32, 32, 32, 32, 12, 700, 12, 50, 700, 12, 50, 50, 700, 12, 50, 700, 18, 18, 18, 700, 24, 18, 10, 24, 24, 24, 24, 24, 700, 18, 24, 18, 24, 12, 24, 18, 24, 18, 18, 24, 18"
Heintze_Collectables,"700, 18, 32, 24, 50, 50, 24, 24, 24, 24, 24, 24, 24, 24, 18, 18, 18, 18, 12, 12, 12, 18, 18, 18, 18, 18, 18"
Herkku_Gifts,"24, 18, 18, 12, 12, 18, 18, 24, 18, 24, 18, 10, 24, 24, 700, 10, 32, 10, 18, 18, 12, 18, 18, 12, 18"
"Iberia_Gift_Imports,_Corp.","12, 18, 24, 24, 32, 32, 18, 24, 50, 18, 18, 24, 32, 24, 18"
L_ordine_Souveniers,"24, 12, 50, 12, 18, 18, 50, 24, 32, 18"
"La_Corne_D_abondance,_Co.","32, 24, 18, 12, 50, 24, 18, 12, 18, 18, 18, 12"
La_Rochelle_Gifts,"18, 700, 700, 24, 24, 700, 72"
Lyon_Souveniers,"50, 18, 18, 24, 18, 24, 18, 18, 18"
Marseille_Mini_Autos,"18, 24, 18, 24, 18, 18, 18"
Mini_Auto_Werke,"18, 32, 18, 18, 12, 32, 18, 10, 18, 18, 12, 12"
"Norway_Gifts_By_Mail,_Co.","24, 18, 18, 18, 24, 18, 24, 18, 18, 18, 24"
Reims_Collectables,"32, 18, 32, 50, 18, 18, 24, 12, 50, 32, 24, 12, 10, 18"
Rovelli_Gifts,"700, 700, 700, 18, 700, 700, 50, 72, 32, 18, 18, 24, 24, 18, 18, 18, 24, 24, 18, 24, 18, 24, 24, 24, 18, 24, 24, 18, 18, 18"
Royale_Belge,"18, 18, 18"
Salzburg_Collectables,"50, 12, 12, 12, 24, 12, 12, 32, 72, 10"
"Saveley_&_Henriot,_Co.","18, 10, 18, 12, 18, 32, 24, 32, 10, 18, 18"
"Stylish_Desk_Decors,_Co.","18, 24, 18, 10, 18, 32, 18, 24, 18, 18, 12, 32, 24, 24, 18, 24, 32"
"Toys_of_Finland,_Co.","700, 18, 72, 18, 24, 24, 10, 72, 18, 700, 24, 24, 700"
"UK_Collectables,_Ltd.","24, 18, 18, 18, 24, 24"
giftsbymail.co.uk,"32, 700, 50, 72, 18, 18, 700, 18, 700, 700, 72, 10, 700, 24, 24, 24, 24, 24"
