@relation TASKDATA4

@attribute CUSTOMERNAME {Diecast_Classics_Inc.,Land_of_Toys_Inc.,Mini_Gifts_Distributors_Ltd.,Online_Diecast_Creations_Co.,Mini_Wheels_Co.,Mini_Classics,'Classic_Gift_Ideas,_Inc',Classic_Legends_Inc.,Marta_s_Replicas_Co.,Canadian_Gift_Exchange_Network,Microscale_Inc.,Vitachrome_Inc.,Muscle_Machine_Inc,FunGiftIdeas.com,Motor_Mint_Distributors_Inc.,Signal_Gift_Stores,Gift_Ideas_Corp.,Technics_Stores_Inc.,'Auto Moto_Classics_Inc.'}
@attribute PRODUCTSCALE string

@data
Diecast_Classics_Inc.,10
Land_of_Toys_Inc.,10
Mini_Gifts_Distributors_Ltd.,10
Online_Diecast_Creations_Co.,10
Mini_Gifts_Distributors_Ltd.,10
Mini_Wheels_Co.,10
Mini_Classics,10
Diecast_Classics_Inc.,10
Land_of_Toys_Inc.,10
Mini_Classics,10
Diecast_Classics_Inc.,10
Land_of_Toys_Inc.,10
'Classic_Gift_Ideas,_Inc',10
Classic_Legends_Inc.,10
Marta_s_Replicas_Co.,10
Canadian_Gift_Exchange_Network,10
Online_Diecast_Creations_Co.,10
Mini_Gifts_Distributors_Ltd.,10
Land_of_Toys_Inc.,12
Canadian_Gift_Exchange_Network,12
Online_Diecast_Creations_Co.,12
Mini_Gifts_Distributors_Ltd.,12
Mini_Wheels_Co.,12
Microscale_Inc.,12
Land_of_Toys_Inc.,12
Vitachrome_Inc.,18
Land_of_Toys_Inc.,12
Muscle_Machine_Inc,12
Land_of_Toys_Inc.,12
Marta_s_Replicas_Co.,12
Vitachrome_Inc.,12
Muscle_Machine_Inc,12
FunGiftIdeas.com,12
Land_of_Toys_Inc.,12
Mini_Gifts_Distributors_Ltd.,18
Online_Diecast_Creations_Co.,18
Mini_Gifts_Distributors_Ltd.,18
Mini_Wheels_Co.,18
FunGiftIdeas.com,18
Motor_Mint_Distributors_Inc.,18
Mini_Gifts_Distributors_Ltd.,18
Online_Diecast_Creations_Co.,18
Signal_Gift_Stores,18
Mini_Gifts_Distributors_Ltd.,18
Online_Diecast_Creations_Co.,18
FunGiftIdeas.com,18
Motor_Mint_Distributors_Inc.,18
'Classic_Gift_Ideas,_Inc',18
Mini_Gifts_Distributors_Ltd.,18
Motor_Mint_Distributors_Inc.,18
FunGiftIdeas.com,18
Land_of_Toys_Inc.,18
FunGiftIdeas.com,18
Motor_Mint_Distributors_Inc.,18
Marta_s_Replicas_Co.,18
Vitachrome_Inc.,18
Muscle_Machine_Inc,18
Mini_Gifts_Distributors_Ltd.,18
Marta_s_Replicas_Co.,18
Canadian_Gift_Exchange_Network,18
Vitachrome_Inc.,18
Muscle_Machine_Inc,18
Mini_Gifts_Distributors_Ltd.,18
Online_Diecast_Creations_Co.,18
Marta_s_Replicas_Co.,18
Canadian_Gift_Exchange_Network,18
Online_Diecast_Creations_Co.,18
Mini_Gifts_Distributors_Ltd.,18
Mini_Classics,72
Diecast_Classics_Inc.,72
Gift_Ideas_Corp.,72
Mini_Classics,18
Diecast_Classics_Inc.,18
Land_of_Toys_Inc.,18
Mini_Gifts_Distributors_Ltd.,18
Online_Diecast_Creations_Co.,18
FunGiftIdeas.com,18
Motor_Mint_Distributors_Inc.,18
Mini_Gifts_Distributors_Ltd.,18
Online_Diecast_Creations_Co.,18
Mini_Gifts_Distributors_Ltd.,18
Mini_Wheels_Co.,18
Mini_Gifts_Distributors_Ltd.,18
Online_Diecast_Creations_Co.,18
Mini_Gifts_Distributors_Ltd.,18
'Classic_Gift_Ideas,_Inc',18
Mini_Gifts_Distributors_Ltd.,18
Online_Diecast_Creations_Co.,18
Mini_Gifts_Distributors_Ltd.,18
Marta_s_Replicas_Co.,18
Canadian_Gift_Exchange_Network,18
