PRODUCTNAME,COUNTRY,YEAR,MONTH,TOTALSALES
2003_Harley_Davidson_Eagle_Drag_Bike,Australia,2003,4,9246
1928_British_Royal_Navy_Airplane,Australia,2003,4,4641
American_Airlines:_B767_300,Australia,2003,4,3854
1997_BMW_R_1100_S,Australia,2003,4,3430
ATA:_B757_300,Australia,2003,4,3408
F/A_18_Hornet_1/72,Australia,2003,4,3268
1960_BSA_Gold_Star_DBD34_1960,Australia,2003,4,2856
1996_Moto_Guzzi_1100i,Australia,2003,4,2784
1936_Harley_Davidson_El_Knucklehead,Australia,2003,4,2668
America_West_Airlines_B757_200,Australia,2003,4,2592
1930_Buick_Marquette_Phaeton,Australia,2003,4,2499
1900s_Vintage_Tri_Plane,Australia,2003,4,2465
1997_BMW_F650_ST,Australia,2003,4,2464
1928_Ford_Phaeton_Deluxe,Australia,2003,4,2088
P_51_D_Mustang,Australia,2003,4,2088
1928_Mercedes_Benz_SSK,Australia,2003,5,6494
1937_Lincoln_Berline,Australia,2003,5,3264
1928_Mercedes_Benz_SSK,Australia,2003,7,7954
1913_Ford_Model_T_Speedster,Australia,2003,7,5566
1936_Chrysler_Airflow,Australia,2003,7,3277
1937_Lincoln_Berline,Australia,2003,7,3193
1917_Maxwell_Touring_Car,Australia,2003,7,3090
1936_Mercedes_Benz_500K_Special_Roadster,Australia,2003,7,2107
18th_Century_Vintage_Horse_Carriage,Australia,2003,7,1800
1934_Ford_V8_Coupe,Australia,2003,7,1420
1965_Aston_Martin_DB5,Australia,2003,9,5828
1992_Ferrari_360_Spider_red,Australia,2003,9,5408
1970_Triumph_Spitfire,Australia,2003,9,4515
1952_Citroen_15CV,Australia,2003,9,4386
1995_Honda_Civic,Australia,2003,9,4225
1948_Porsche_Type_356_Roadster,Australia,2003,9,3640
1932_Alfa_Romeo_8C2300_Spider_Sport,Australia,2003,9,3604
1999_Indy_500_Monte_Carlo_SS,Australia,2003,9,3537
2002_Chevy_Corvette,Australia,2003,9,3456
1992_Porsche_Cayenne_Turbo_Silver,Australia,2003,9,2806
1993_Mazda_RX_7,Australia,2003,9,2691
1966_Shelby_Cobra_427_S/C,Australia,2003,9,2679
1957_Ford_Thunderbird,Australia,2003,9,2349
1969_Chevrolet_Camaro_Z28,Australia,2003,9,2294
1950_s_Chicago_Surface_Lines_Streetcar,Australia,2003,9,1683
1970_Dodge_Coronet,Australia,2003,9,1625
1949_Jaguar_XK_120,Australia,2003,9,1554
1970_Chevy_Chevelle_SS_454,Australia,2003,9,1500
1913_Ford_Model_T_Speedster,Australia,2003,11,8216
1952_Alpine_Renault_1300,Australia,2003,11,8024
1958_Setra_Bus,Australia,2003,11,6837
